operation,solution
(5624+(1274*857970))*(3126-1786),1464699601360
(9319+278)*727,6977019
"lcm(396,362)+gcd(396,362)",71678
((6277+3)*4148)-53442,25995998
(4863+60)*(9734-2489),35667135
(5064*28)/2,70896
(6*16)+(70*357228)+(631288*42),51520152
1920*5602,10755840
12*((5+776)*6756)-30949,63286283
685952/466+86,1558
(7691+(60*292))*(9360-8123),31186007
(((7*12)+(7082*42))/196)-331,1187
"gcd(134,175)*lcm(134,175)",23450
(746+(596916*35))*(3424-2086)+5262,27954579690
717*(6926+588),5387538
prime_count(28244),3077
"C(19,6)-6",27126
9021+939*656,625005
"C(37,10)",348330136
prime_count(47342),4881
(3176+8360)*91,1049776
"lcm(360,253)+gcd(360,253)",91081
(((646090*16)+(3813*45))/5)-9986,2091819
(((81*7613)+(6534*21))/227)-269,3052
(9495*2594)+(79*43),24633427
(6609+(5*79))*(794-118),4734704
(9071*448)+(6643*864),9803360
fib(21)*11,120406
"max(37552,58806,47432)-min(37552,75087)+5",21259
phi(344),168
(4628+(3299*77))*(8146-4680),896484366
5748*1958,11254584
(((2645*42)+(857*8686))/4)-2713,1886035
12^6+6^6,3032640
digit_sum(92045615)^2+digit_sum(92045615),1056
isqrt(9021750),3003
((761119*8246)-(5801+1999))/142,44198447
"lcm(387,297)+gcd(387,297)",12780
phi(1290)*sigma(1375),628992
((1509+(6402*16))*(8664-8596))-54647,7013341
digit_product(7613725957),2778300
4556*(7638+70),35117648
(287*20)/5,1148
(5408*912594)-(40*93),4935304632
nth_prime(84),433
(9331*137)/7,182621
((9062+(81*1512))*(4837-1867))-85100,390570880
((1409-1216)*36)/4,1737
(7566*65)/78,6305
((4640+8586)*5052)-69313,66748439
((29*7375)+24)/7,30557
(((58*90)+(4056*68))/4)-5322,64935
(645975*9297)+(179599*5090)+(3903*252136),7903875293
((2601+85)*46)-25096,98460
"gcd(26620,21780)",2420
(976054*7201)+(885864*92),7110064342
phi(4815),2544
(7339*11)+(16*797895),12847049
((610+5917)*721469)-25410,4709002753
reverse_digits(2708)+isqrt(7334611),10780
5429+(4977*2952)-(29997/9),14694200
"perm(11,5)",55440
3123*8240+8,25733528
isqrt(7509966),2740
nth_prime(874),6791
683592*2-623,1366561
35*6058-6042,205988
(2770+74)*(6731-2069),13258728
"C(22,4)*20",146300
9333*9621+35,89792828
395460*((92+21)*19)-65629,848986991
18538/23+35,841
(423*67)+(1028*610637),627763177
fib(35)*41,378326065
sigma(3140),6636
(723*5097)+(5296*1394)+(31*3586),11178921
((9959*7169)-(4208+4800))/11,6489733
11!*3+1648,119752048
"C(29,8)",4292145
sigma(4962)+phi(4962),11588
phi(1458),486
(((11*4860)+(1247*544925))/65)-7295,10447704
((7650*80)/4)*36+60,5508060
sigma(2761),3024
(5049+(9283*5793))*(1454-878),30978125568
8697+(23*476525)-(110809/29),10964951
52650/75+60,762
nth_prime(1178)*74+prime_count(3773),704339
((3466+15)*3000)+(6028*354258),2145910224
nth_prime(983)*76+prime_count(2873),589644
70*(7913+26),555730
(1180*832)+(9497*851),9063707
((989570-395228)*18)/252,42453
((3595+94)*2802)-48892,10287686
floor(4657284/567)+182,8395
digit_product(328481564),184320
((5544+81)*29)+(7275*243472),1771421925
9!*43+3883,15607723
12^4+5^5,23861
(6925+(32*4133))*(3013-2415)+77,83230315
(3590+575)*404,1682660
(9063*9296)+(8228*61),84751556
reverse_digits(3347)+isqrt(11203119),10780
sigma(1041),1392
nth_prime(1228)*31+prime_count(1053),309154
10^6+5^4,1000625
((9496*868979)-(9034+8))/2,4125907771
499552/233+19,2163
"max(38136,52650,75255)-min(38136,15868)+31",59418
"C(25,5)+fib(14)",53507
((9463+20)*8799)+(6342*4727),113419551
488*(2435+240),1305400
(9884+(35*5383))*(2376-1696),134836520
"gcd(734,288)*lcm(734,288)",211392
"C(26,8)",1562275
12!/(9!*3!),220
(998224*64)/32,1996448
"C(19,5)-24",11604
"lcm(302,158)",23858
11^9+5^7,2358025816
7!*15+2658,78258
reverse_digits(997936295435),534592639799
"C(23,6)+135",101082
15!/(11!*4!),1365
"max(52246,72281,87491)-min(52246,79859)+13",35258
11!*26+211,1037837011
(6632+6)*8381,55633078
"max(90700,23226,2455)-min(90700,15002)+48",75746
((884*145)/260)*750782+11,370135537
4064*(3765+82),15634208
"C(26,10)",5311735
80*(773+48),65680
(5904*8136)+(997710*71),118872354
3006+(83*4673)-(82852/22),387099
9^8+5^6,43062346
(85*4227)-(53*64),355903
(2602+86)*(9758-4768),13413120
(24^9)%513,324
((7309+(6824*6932))*(8708-3294))-15726,256143237952
(529132*6260)+(6429*811148)+(951772*28),8553886428
"lcm(40,264)",1320
(735*5053)+(32*10),3714275
sigma(1382),2076
(48*86)-(45*67),1113
525*45+97,23722
"gcd(567,515)*lcm(567,515)",292005
digit_sum(79618073)^2+digit_sum(79618073),1722
((1693-1211)*51)/17,1446
prime_count(11938),1430
"C(26,4)+12",14962
floor(6364739/738)+202,8826
digit_sum(655570545)^2+digit_sum(655570545),1806
(12^8)%307,259
"gcd(21172,45820,20856)",316
((2470+183)*102)-601,270005
abs(4189-2862)*45+floor(4189/19),59935
(8603*4155)+(1897*86)+(9322*49),36365385
(6520+(39*1518))*(9310-8893),27406074
(11^6)%573,418
(2863+(6638*3665))*(3795-1466)+50,56667208807
(((31*6176)+(9871*1586))/23)-3054,685940
"C(14,7)+fib(13)",3665
(19^11)%593,285
(5129+16)*(7754-620),36704430
digit_sum(622191430)^2+digit_sum(622191430),812
sigma(880),2232
(((7440*74)+(553973*9392))/8)-6590,650426532
(46^5)%623,422
digit_product(68962337),326592
((8778*3575)+56)/53,592102
7154*80-1235,571085
(2985+(1882*939546))*(5235-533)+25,8314210675039
((2041*215)/65)*71+47,479368
(2883+506)*(594-138),1545384
"comb(23,7)",245157
(7910*4290)+(410*6474),36588240
"comb(34,3)",5984
(3604*5534)-(51*5607),19658579
(7439*3138)-(4794*29),23204556
phi(3972),1320
((9502+(1670*4575))*(956-348))-11431,4651037785
"comb(36,6)",1947792
(1466*85)+(10*99)+(85*76),132060
9^9+7^3,387420832
((1577*10)+77)/53,299
((3626+9865)*6270)-65011,84523559
1253*(11+68),98987
(34*9)+(22*64387),1416820
((750-7)*1988)/28,52753
(1223*2927)+(186*5242),4554733
(1822+(568*528))*(520-423),29267422
1963*(2916+1354),8382010
(14*79)+(3356*261)+(394587*21),9163349
"gcd(281,466)*lcm(281,466)",130946
(10^11)%411,178
((216829-94086)*372)/186,245486
abs(4449-9084)*13+floor(4449/15),60551
nth_prime(355)*19+prime_count(2469),45756
fib(17)+digit_sum(fib(17)),1619
((451+4)*7334)+(61*89),3342399
(789135*8182)-(705410*4731),3119407860
"P(16,4)",43680
nth_prime(295),1933
44*819-6104,29932
"C(27,8)+fib(16)",2221062
8!*20+2453,808853
(1284+(6848*9708))*(1094-497)+1268,39689557064
"C(22,8)*17",5436090
533139*(7365+86),3972418689
(((3730*1874)+(1081*5211))/107)-7270,110703
337094*((37+7)*42)-38051,622911661
((7754+15)*37)+(3122*7527),23786747
69554*8630,600251020
((439564*71)+95)/13,2400703
"gcd(205,640)*lcm(205,640)",131200
((3742*55)-(3282+18))/10,20251
sqrt(176624100),13290
(6450+62)*(9903-482),61349552
(6485+73)*(9969-7753),14532528
((741+68)*5829)-42662,4672999
"gcd(147,155)*lcm(147,155)",22785
(2912*3787)+(3634*6492)+(933270*36),68217392
((9509+95)*8405)+(2472*8756),102366452
"C(30,3)",4060
((8868+10)*1955)-91102,17265388
reverse_digits(234493419930),39914394432
"C(31,4)*3",94395
2682*(8821+9207),48351096
((298356-295244)*92)/8,35788
8!*32+9749,1299989
nth_prime(470),3331
phi(2037)*sigma(2590),6303744
floor(6917624/505)+224,13922
528*(8522+953),5002800
fib(15)+852,1462
(8045+21)*(4984-4808),1419616
7566+(3378*5181)-(6370/35),17508802
12!/(5!*7!),792
25*(35+5655),142250
"gcd(480,506)*lcm(480,506)",242880
79*(55+59),9006
"comb(28,8)",3108105
(6219*81)-(40*52),501659
((2475+(8*95))*(9349-8889))-70850,1417250
fib(12)+412,556
(455*6584)+(8336*3914),35622824
fib(25)*16,1200400
9699*66+13,640147
6978*58-8783,395941
nth_prime(1271)*54+prime_count(4928),559935
((3468*9180)+90)/45,707474
"comb(20,6)",38760
(75*412)+(6707*308362)+(73*8993),2068871323
phi(2428)*sigma(2916),9273012
2045+(614849*67)-(157238/58),41194217
digit_product(97295746),952560
phi(4617),2916
14!/(8!*6!),3003
(3462*177)+(7664*561),4912278
(((309520*408255)+(568*326910))/12)-5572,10545725468
(((1271*925004)+(5679*52))/16)-5112,73493350
15!/(7!*8!),6435
digit_product(835278),13440
reverse_digits(5584)+isqrt(31183366),10439
(((16*183951)+(434840*36))/214)-9694,77210
reverse_digits(6416)+isqrt(41170413),12562
4434*6119-1984,27129662
(9545+(6097*848309))*(651-487)+317,848232521269
9!*9+6369,3272289
sigma(1725),2976
3^7+6^5,9963
(((8714*2742)+(3038*2112))/92)-6368,323089
5^4+4^7,17009
floor(13!/1000),6227020
((4206+386)*282)+(2014*47),1389602
(1143+(34766*4131))*(1860-1652),29872853712
"lcm(113,421)+gcd(113,421)",47574
(10*7495)+(250*418)+(3779*40),330610
prime_count(34198),3653
(1885+(1169*83))*(4689-3588),108902112
4556*526+9215,2405671
abs(7107-1940)*41+floor(7107/3),214216
(8870*79)/10,70073
sigma(4639)+phi(4639),9278
16!/(4!*12!),1820
2711+(9093*14)-(26625/25),128948
(5477+1981)*9722,72506676
((4028+1328)*5186)-80301,27695915
((8003+9565)*998)+(8612*9532),99622448
(5700+607)*955,6023185
(1937*3219)-(1340*2548),2820883
((4508+2094)*3514)-3618,23195810
((7798-6429)*363)/3,165649
15!/(9!*6!),5005
"comb(20,4)",4845
9^10+4^6,3486788497
13159*55,723745
7^4+2^4,2417
((2462+4961)*6592)+(3115*1936),54963056
((2606+(825278*7214))*(4125-2349))-76545,10573519105503
(2981+(8819*1035))*(9268-1591)+54,70095969396
((38*8380)-(6364+49))/3,104009
"C(22,5)+fib(28)",344145
fib(30)-912,831128
phi(1538),768
"comb(14,5)",2002
"C(24,7)",346104
(79660*1018)-(8426*3637),50448518
phi(2299)*sigma(1020),5987520
((8707+(8456*7874))*(8581-1335))-2726,482520202020
digit_product(5898915),129600
prime_count(13304),1579
"C(15,5)+P(15,3)",5733
8!*46+9481,1864201
7!*31+3065,159305
(236+(2535*44))*(4592-3818),86514624
((9849*5)/3)*9096+95,149310935
(1375+85)*6021,8790660
(8028+(1098*26))*(4341-1896),89428320
"C(18,5)+P(18,3)",13464
((9445+(50*27))*(4019-1507))-21913,27095127
((5456+506)*247)+(2293*962),3678480
(1344*78)/28,3744
(96*5969)+(6391*2718)+(817243*54),62074884
fib(14),377
4^8+8^8,16842752
9405*(16+1425),13552605
sigma(4020),11424
3^10+4^6,63145
fib(32)*34,74062506
"lcm(274,400)",54800
3331+(40*2)-(261996/84),292
587912*(9457+91),5613383776
((7703+(7999*428))*(4762-4431))-60473,1135691552
digit_sum(681549601)^2+digit_sum(681549601),1640
floor(313049/194)+269,1882
(1658+(5451*78))*(8967-8206),324822196
(2*6363)+(2357*549020)+(721143*59),1336600303
(27^10)%451,155
2345+(938275*765950)-(166810/70),718671736212
(92*2193)+(1427*6487),9458705
"P(14,4)",24024
"max(24109,64982,63981)-min(24109,16810)+5",48177
"gcd(27244,66444)",196
(76*8398)+(7189*8235)+(9264*8955),142798783
"lcm(83,344)+gcd(83,344)",28553
7879+(7256*251)-(4004/14),1828849
190916/44+574,4913
prime_count(32418),3479
"C(15,5)+fib(28)",320814
"max(20647,33213,39208)-min(20647,49363)+18",18579
(2716+(964*997))*(818-146),647689728
"gcd(285,118)*lcm(285,118)",33630
fib(33),3524578
(8337*2574)+(6666*9589)+(7048*2643),104007576
"C(18,5)+fib(28)",326379
(3427*232)-(45*75),791689
"gcd(fib(24),fib(24))",46368
isqrt(8973080),2995
"perm(20,4)",116280
"C(22,8)*20",6395400
(((575194*38)+(3948*7275))/146)-5071,341361
7!*22+5196,116076
prime_count(7604),966
"C(16,5)+fib(21)",15314
(5490*996)+(8740*949),13762300
digit_sum(8^7)*phi(140),1248
(222075*391)-(313*2519),86042878
((1226-8)*1764)/36,59682
2027+(19*9541)-(30168/36),182468
reverse_digits(3607)+isqrt(13012363),10670
753542/629+8,1206
(5481*928)-(134*521),5016554
"lcm(135,394)",53190
digit_product(9439664815),5598720
425*4364+95,1854795
(9486+(3*72))*(4064-118),38284092
((796508*12)/16)*72+17,43011449
((1509-159)*395)/15,35550
sigma(2887),2888
3121+(7434*2580)-(34397/53),19182192
(5407*37)+(55*4145),428034
phi(1914)*sigma(834),940800
sigma(3535)+phi(3535),7296
(5464+(244*773))*(372-86),55505736
((811243*1090)-(8243+92))/333,2655395
"perm(10,4)",5040
prime_count(38083),4023
(9417+(952*7876))*(2218-239)+96,14857083347
((2224*41)/82)*7674+89,8533577
"gcd(201,535)*lcm(201,535)",107535
phi(705)*sigma(2371),872896
"C(35,6)*17",27593720
(7713*138)/2,532197
(1849*4191)+(97*2566)+(6914*31),8212395
((8814+9)*8550)+(866*37),75468692
((4458+(2668*31))*(5868-852))-78376,437146280
(1411+3)*112436,158984504
(5705*24)/105,1304
((6151-2085)*46)/19,9844
(1910+(335738*4831))*(9536-3557)+90,9697652132142
prime_count(10644),1298
(((18*27)+(176*3629))/205)-1252,1866
"lcm(182,80)",7280
"gcd(84390,12804,33562)",194
sigma(4084),7154
12!/(3!*9!),220
((9005-1463)*175)/14,94275
((516+8543)*39)-45324,307977
((4987+8326)*6156)+(388*3103),83158792
9882+(8677*53)-(105792/32),466457
((9218*9079)-(5085+15))/2,41842561
(21*275849)+(2742*31)+(3376*60),6080391
(68*598162)+(84*1074)+(8393*4876),81689500
(1232*129)+(22*19)+(9177*71),810913
((940681-102794)*51)/17,2513661
"max(84917,7320,4627)-min(84917,54472)+15",30460
((502513*51)/11)*8604+12,20045883144
"lcm(123,185)",22755
prime_count(35716),3795
17*((3413+4411)*6414)-6142,853107170
9348*5231+56,48899444
((37*97)+33)/2,1811
prime_count(23416),2607
(3599*2975)+(6*30181),10888111
4^9+9^6,793585
sigma(4376)+phi(4376),10404
(8892+840)*(702-6),6773472
fib(25)+598,75623
isqrt(1771153),1330
(1143*554)+(8227*635),5857367
((257*512)+7511)/33,4215
phi(4140),1056
(857*83)+(91*452813)+(7*27),41277303
digit_sum(2^12)*phi(89),1672
floor(1403039/529)+114,2766
((868+(73*6118))*(6678-1935))-36206,2122370920
((1436-53)*192)/8,33192
prime_count(28256),3077
5308*((583+6559)*2)-33314,75786158
(157*975)+(7687*926),7271237
(1468*485297)+(25*1211)+(7495*3260),736879971
sqrt(202606756),14234
"gcd(69,463)*lcm(69,463)",31947
8481+(72*2938)-(186300/81),217717
((74*4)/37)*269523+31,2156215
sigma(318),648
nth_prime(1071)*61+prime_count(3528),525031
"lcm(169,293,161)",7972237
nth_prime(1350),11149
(19656*55)/52,20790
(2674+(784840*87))*(1067-873)+76,13247048352
2831*7397+40,20940947
(9495+(115459*46))*(9596-9058),2862487642
(7171*4596)-(18*7566),32821728
prime_count(24099),2681
((77*82)-(571+83))/2,2830
((3293+2475)*941346)+(5659*391793),7646840315
(((1754*32)+(34*396809))/6)-2800,2255139
(5875*8714)-(5689*17),51098037
nth_prime(1176)*79+prime_count(3501),750278
(8801*428)-(14*2500),3731828
(7031*94)+(8257*219),2469197
((1194+38)*223)-31633,243103
((1420+8572)*7583)+(97*6335),76383831
((8017+1939)*47)+(72*4221),771844
"max(815,83563,51066)-min(815,38433)+18",82766
(5322+(8012*1837))*(1457-1002),6699131530
(154345*73)-(72*5801),10849513
digit_sum(970301109)^2+digit_sum(970301109),930
abs(2392-1017)*50+floor(2392/5),69228
"gcd(647,336)*lcm(647,336)",217392
((1453+29)*4083)+(5662*5),6079316
3463*(59+18),266651
nth_prime(710),5387
floor(8240118/784)+119,10629
48*(97+8),5040
(397+8286)*7391,64176053
3563280/882+47,4087
9273*8202+64,76057210
abs(6006-3795)*19+floor(6006/14),42438
6281+(8205*2444)-(68241/69),20058312
"max(91206,96441,81493)-min(91206,34741)+25",61725
((6635+27)*9510)-80109,63275511
"comb(15,6)",5005
1295705/437+2,2967
(((905288*35)+(40*41))/240)-6590,125438
abs(1680-9207)*27+floor(1680/14),203349
7249*10+40,72530
((939291*9532)+96)/2,4476660954
nth_prime(1643),13903
(7*92)+(7568*44)+(65*30),335586
"C(37,5)",435897
"C(25,8)+fib(30)",1913615
4291+(9426*3930)-(35510/10),37044920
1005329/221+64,4613
(1419+(8255*75))*(7892-2872)+94,3115130974
((6690+60)*235)+(22*30),1586910
(1373+(96*13))*(5177-2077),8125100
prime_count(25161),2776
floor(1308363/368)+345,3900
abs(4820-1755)*30+floor(4820/15),92271
((51*5173)+24)/37,7131
nth_prime(1127)*93+prime_count(774),843368
(568*165)/8,11715
(6851+(364*755))*(118-46),20280312
(2295+(2099*48))*(6340-1299)+29,519459956
(((12*3309)+(449896*5660))/7)-9493,363769231
"C(12,6)+fib(24)",47292
(15^10)%779,688
phi(1698),564
abs(2115-3295)*2+floor(2115/2),3417
(2^10)%371,282
"C(21,4)+P(21,3)",13965
floor(4538810/73)+98,62273
(9*4874)+(9010*9304),83872906
"lcm(280,27,60)",7560
((7343+(1175*12))*(7811-658))-62301,153319478
abs(1198-1824)*13+floor(1198/6),8337
((5044*4166)+39)/13,1616411
((411+(3547*2967))*(490-126))-55900,3830811140
((6267+9808)*6160)+(7016*8062),155584992
((7474+2)*965)+(2777*270703),758956571
digit_sum(9^7)*phi(198),2700
(137716*461491)-(13*979873),63541956207
"perm(12,5)",95040
15!/(8!*7!),6435
"lcm(347,273)+gcd(347,273)",94732
((8356+(9835*48))*(1603-784))-96010,393381074
((3110*57)/10)*970266+62,17199905444
9026*((85+96)*4530)-44415,7400643765
(9096*8257)+(8442*8980),150914832
fib(34)*44,250927028
(72*1114)+(1980*17),113868
(48^6)%237,222
"lcm(372,297)",36828
((5022-4228)*6)/12,397
"C(28,3)",3276
(271738*949941)-(249692*91),258112345486
(2526*642)+(6263*514),4840874
((37*18)/3)*41085+65,9120935
((3945+91)*7528)+(3747*674915),2559289513
((8771+5023)*5936)-31184,81850000
"gcd(33660,38520)",180
((1386*7674)+75)/163,65253
((712230*190)/5)*6797+40,183959037820
((185+(24*89))*(3118-1000))-6720,4909158
((3402*269)/42)*7188+39,156619371
"lcm(222,198)",7326
"C(28,8)+fib(26)",3229498
(55*9328)+(7868*93),1244764
"comb(28,9)",6906900
"comb(33,7)",4272048
((8212+7431)*3)-15418,31511
(5895+52)*(2054-1747),1825729
(371312*663638)-(8*9626),246416676048
prime_count(17956),2057
(87*8716)+(47*85)+(74*2506),947731
7!*9+9786,55146
(738007*43)-(30*1994),31674481
"lcm(60,400)",1200
nth_prime(1264),10303
((262+78)*298414)-11844,101448916
((1869+18)*22)+(3696*7430),27502794
nth_prime(244)*100+prime_count(820),155041
(6272*6884)+(3371*5755)+(5012*72),62937417
fib(30)*15,12480600
(((158577*30)+(7347*246077))/3)-5010,604223333
digit_product(497178),14112
((9726+(1816*2162))*(4222-1893))-69679,9166683343
reverse_digits(237)+isqrt(56397),969
11!/(7!*4!),330
(((7791*58)+(3268*35))/7)-5816,75078
(3808+(128639*5626))*(2452-368),1508246697048
digit_sum(494388394)^2+digit_sum(494388394),2756
(20^12)%893,647
(((865836*194244)+(305536*7))/17)-8351,9893261457
8624+(5914*6310)-(64020/55),37324800
phi(2582)*sigma(900),3639090
"C(29,3)+fib(25)",78679
3936+(58*291365)-(198826/89),16900872
"C(18,6)+fib(25)",93589
"comb(19,7)",50388
prime_count(37386),3959
"P(10,3)",720
(((39*787)+(86*3263))/13)-6326,17621
"C(16,8)-178",12692
(46^7)%407,238
((8242+10)*941871)+(5906*786273),12416047830
((2172+(8240*796828))*(6991-6239))-75887,4937530322897
(5401+(40*126))*(6804-6401)+1518,4209241
6^6+2^3,46664
(5556+80)*(7801-7707),529784
(7655+(6548*97))*(2533-270),1454681293
(282+18)*5918,1775400
((2984+964)*655)+(23*3224),2660092
(2765*81)/45,4977
10*(1484+90),15740
"lcm(111,307)",34077
3149*645,2031105
(2169*5285)+(341*4774),13091099
(891772*83)-(2524*24),73956500
"gcd(104,314)*lcm(104,314)",32656
(5721+(59*503638))*(9362-5787)+8030,106250305755
(9868*17)+(2530*2806),7266936
sqrt(364886404),19102
((4*196)/112)*13+49,140
(6795+(65*267))*(735-139),14393400
"lcm(205,310,87)",1105770
digit_sum(402798811)^2+digit_sum(402798811),1640
floor(8970401/712)+172,12770
"gcd(23975,26167)",137
(635717*4485)-(935*4652),2846841125
"comb(26,4)",14950
(912*7923)-(50914*20),6207496
13!,6227020800
"gcd(614,640)*lcm(614,640)",392960
abs(6800-2489)*22+floor(6800/5),96202
((3340+(8362*79))*(1513-1257))-7942,169960186
nth_prime(139)*54+prime_count(3050),43475
((42*38)+4)/16,100
"C(17,6)-456",11920
"C(20,3)",1140
(5047+(869*286))*(519-131),98389428
digit_sum(746102398)^2+digit_sum(746102398),1640
(5440+(9426*1381))*(8733-74)+16,112763957630
(((537733*4717)+(1206*6))/23)-4102,110278237
((9148+8113)*9841)+(85*49),169869666
"C(33,3)+306",5762
(3135*76)+(1194*1644),2201196
2054144/544+22,3798
"C(33,4)-68",40852
reverse_digits(961782571825),528175287169
"C(27,4)+fib(21)",28496
872*(9730+6966),14558912
(((6318*98)+(2802*1405))/3)-4019,1514639
(((32*5226)+(57884*4339))/4)-308,62831169
fib(24)-636,45732
((7023+846)*221)-719,1738330
"perm(16,4)",43680
"comb(20,10)",184756
((615*266566)+16)/34,4821709
((2241*51)/3)*91+68,3466895
(1076+52)*(4420-594),4315728
(2254+(4957*6445))*(2587-728),59395271221
(3009+(379*689))*(766-290),125730640
(8476+(1472*635188))*(216-12),190741063248
prime_count(13418),1591
"C(22,7)+fib(21)",181490
nth_prime(1650),13967
((5281-1680)*18)/78,831
(9867*94)-(13*4),927446
((1165+7650)*78)+(80*1177),781730
(59*6934)-(30*8518),153566
(1027+42)*(76-5),75899
(((273374*1079)+(9011*1022))/22)-8273,13818081
7793*5407+24,42136775
74*(99+61),11840
((1864+(7427*80))*(3272-1746))-22772,909509852
(1942*72)-(47*70),136534
"lcm(298,173)",51554
sigma(192)+phi(192),572
(84*15)+(86*3733),322298
(5848+(37*62))*(2490-2305),1506270
phi(2106),648
"C(24,7)*5",1730520
"max(50998,85925,87106)-min(50998,88522)+48",36156
5208+(1945*8302)-(100320/24),16148418
(3185*132)/6,70070
((8483+(888055*7))*(941-859))-68524,510370652
(309517*5054)-(563993*918),1046553344
"gcd(11300,10400)",100
4551+(4731*2792)-(44896/23),13211551
phi(1609)*sigma(2653),4888320
sigma(1331),1464
nth_prime(295)*82+prime_count(3407),158985
790*182,143780
(2948*1625)+(36*6684)+(67*1526),5133366
1559776/617+17,2545
((8828*76)/152)*7319+53,32306119
5^5+8^7,2100277
"C(17,6)+fib(28)",330187
(23*14)+(5149*62)+(5297*14),393718
"gcd(739,787)*lcm(739,787)",581593
"gcd(9720,1890)",270
(4720+19)*(2679-956),8165297
isqrt(8495319),2914
phi(1510),600
floor(8948560/333)+384,27256
sqrt(30228004),5498
1442764/373+10,3878
2454*39-1098,94608
nth_prime(327)*27+prime_count(4081),59395
(478+2431)*3966,11537094
((481710*169)/13)*87+7,544814017
((246*208)/123)*8234+38,3425382
9718*(40+901),9144638
(8061*2760)+(62*35),22250530
"comb(30,9)",14307150
(2820*3442)+(21*7062)+(69*5),9855087
"C(34,8)+317",18156521
76*(1909+87),151696
(8920*23)/46,4460
reverse_digits(903903531208),802135309309
8!*40+9535,1622335
547524/227+79,2491
fib(34)+139,5703026
sigma(830),1512
"C(31,7)+277",2629852
prime_count(33838),3624
(3381+8627)*6445,77391560
digit_sum(6^6)*phi(116),1512
(497+(59*4767))*(3863-522)+7304,941334054
fib(11)+649,738
(98*3665)+(1085*8065),9109695
((488577*136)/102)*12+73,7817305
(863934*6909)-(7359*785872),185687958
(18676*2008)+(4284*5088),59298400
(7295*7104)+(3677*568316),2141521612
(3592+(6138*2317))*(5782-2488),46858263372
10^8+6^7,100279936
"gcd(200,532)*lcm(200,532)",106400
(25^11)%127,122
fib(35),9227465
prime_count(45855),4750
fib(28)+digit_sum(fib(28)),317832
"C(20,3)+315",1455
"C(20,5)+fib(23)",44161
((4364-3019)*69)/15,6187
(6290+88)*(1086-981),669690
((4748+36)*6)+(5901*92),571596
fib(13),233
((8029+(1196*5178))*(4836-1555))-14367,20345194310
((1302+70)*4958)-86457,6715919
16!/(11!*5!),4368
"max(74457,66118,52519)-min(74457,5420)+17",69054
sigma(3684),8624
isqrt(2542055),1594
10!/(7!*3!),120
((3772+8905)*2947)+(9433*51),37840202
(50*2360)+(3418*96),446128
((492+11)*2851)-50647,1383406
floor(5847202/54)+88,108369
((6328*18)/4)*79+88,2249692
7881*(29+72),795981
((5*194)/5)*2207+27,428185
floor(6862093/909)+351,7900
(18122*26)/17,27716
((482109-76657)*83)/166,202726
((259362-142188)*74)/4,2167719
(2380+18)*(5087-2628),5896682
11!/(3!*8!),165
"lcm(52,53)",2756
(2380+(66078*325))*(8533-663)+28,169029735128
(39650*79)/65,48190
(5441+(4646*64))*(9460-8833),189846195
"max(74299,52333,66999)-min(74299,23951)+35",50383
(9981+34)*(8152-1939),62223195
(9^11)%653,553
isqrt(8556693),2925
14!/(11!*3!),364
"C(27,4)*15",263250
(((8069*4050)+(1471*3))/3)-7151,10887470
(7895*5295)-(4598*15),41735055
(3022+61)*(9606-8635),2993593
phi(947)*sigma(2207),2088768
((946862*408055)-(5027+3))/195,1981393684
"max(83423,36172,78302)-min(83423,47703)+8",35728
phi(1687),1440
((5391+(647822*3405))*(543-208))-54201,738956111634
(30162*16)/33,14624
phi(3349),3136
"lcm(57,129)",2451
((8481-6173)*74)/74,2308
nth_prime(1513),12659
56*8374+82,469026
76*((898+696)*47)-3212,5690556
(438+2)*86,37840
16!/(8!*8!),12870
(9546+83)*(5831-3324),24139903
8^5+2^6,32832
((3009-1592)*191)/13,20819
((8627-7719)*78)/26,2724
((725971-297633)*85)/85,428338
((315041*87)/141)*37+63,7192382
6377+(12*45)-(82962/18),2308
((2901+93)*177948)-75424,532700888
"comb(32,10)",64512240
591929*(73+68),83461989
(2770+(88*7190))*(6752-278)+2,4114162262
((711969*2135)+42)/189,8042613
((6141+13)*88)+(9980*2143),21928692
"C(16,5)+fib(13)",4601
7931+(70*27)-(106944/48),7593
((151*3803)+5192)/85,6817
"gcd(774,552)*lcm(774,552)",427248
prime_count(2954),425
16!/(7!*9!),11440
nth_prime(1075)*37+prime_count(4974),319939
abs(4525-9302)*35+floor(4525/15),167496
(6720+(5317*326809))*(1923-1567)+9,618603461597
abs(6091-6909)*44+floor(6091/19),36312
51*((4+883)*4912)-71956,222132188
reverse_digits(7861)+isqrt(61802681),9548
5^8+5^7,468750
69*((4144+35)*1599)-33249,461040000
(8^11)%633,524
(5932*13)/4,19279
floor(485705/392)+313,1552
reverse_digits(506984186443),344681489605
679574*((889+93)*2030)-55681,1354703530359
nth_prime(849)*25+prime_count(2893),164643
isqrt(1476825),1215
"P(14,5)",240240
((8532+72)*84)+(3823*4473),17823015
(5748*492)+(634*830),3354236
phi(1495)*sigma(2041),2335872
"C(17,8)-97",24213
"perm(18,3)",4896
fib(13)*6,1398
"C(22,7)-484",170060
"gcd(483,480)*lcm(483,480)",231840
digit_product(1674953),22680
8273*720-9721,5946839
(914472*1293)+(438214*8120)+(39*7),4740710249
(8771*229)+(1279*473),2613526
prime_count(48706),5008
49*79-2331,1540
(5285+39)*7816,41612384
